%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.jerk.x,field.jerk.y,field.jerk.z,field.yaw,field.yaw_dot,field.kx0,field.kx1,field.kx2,field.kv0,field.kv1,field.kv2,field.trajectory_id,field.trajectory_flag
2217902000000,39,2217902000000,world,-0.067662911177,-0.0271074662938,2.44629246437,0.132246167481,-0.0701436526386,-0.0103832602616,0.659904029651,-0.431575215884,-0.00221776187588,0.0,0.0,0.0,-0.596794527777,-0.2460629097,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217911000000,40,2217911000000,world,-0.0664457718622,-0.0277563682279,2.44619892452,0.138247332868,-0.0740693688691,-0.0104034511607,0.671108964295,-0.439551441503,-0.0022704720719,0.0,0.0,0.0,-0.59760624421,-0.213222169562,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217922000000,41,2217922000000,world,-0.0648843636534,-0.0285978279668,2.4460843478,0.145652837365,-0.0789327490221,-0.0104288082608,0.675346398846,-0.444699495402,-0.00233990976159,0.0,0.0,0.0,-0.598432545771,-0.181729408541,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217932000000,42,2217932000000,world,-0.0633940037563,-0.0294094684326,2.44597994167,0.15242556242,-0.0834031442211,-0.0104525229842,0.679198612073,-0.4493795444,-0.00240303493404,0.0,0.0,0.0,-0.599222760803,-0.16988620744,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217941000000,43,2217941000000,world,-0.0619946193463,-0.0301783534647,2.44588577087,0.158553951392,-0.0874665143192,-0.0104744059556,0.682665603978,-0.453591588499,-0.00245984758925,0.0,0.0,0.0,-0.599953067678,-0.166088312052,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217952000000,44,2217951000000,world,-0.0603748823487,-0.0310757761881,2.44578090277,0.165399868498,-0.0920258304491,-0.0104993200573,0.686517817205,-0.458271637498,-0.0025229727617,0.0,0.0,0.0,-0.600686088363,-0.156346224576,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217961000000,45,2217961000000,world,-0.0586864935693,-0.0320190260753,2.44567578237,0.172284307736,-0.0966319470691,-0.0105248654108,0.690370030433,-0.462951686497,-0.00258609793415,0.0,0.0,0.0,-0.60141569508,-0.151133783928,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217972000000,46,2217971000000,world,-0.0569290677868,-0.0330085711312,2.44557040335,0.179207269106,-0.101284864179,-0.010551042016,0.694222243661,-0.467631735496,-0.0026492231066,0.0,0.0,0.0,-0.602138872045,-0.147884588526,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217981000000,47,2217981000000,world,-0.05510221978,-0.0340448793605,2.44546475942,0.186168752609,-0.105984581779,-0.010577849873,0.698074456888,-0.472311784495,-0.00271234827905,0.0,0.0,0.0,-0.602854159411,-0.145471030862,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217992000000,48,2217991000000,world,-0.0532055643275,-0.0351284187684,2.44535884425,0.193168758244,-0.110731099869,-0.0106052889816,0.701926670116,-0.476991833494,-0.0027754734515,0.0,0.0,0.0,-0.603560875142,-0.143407088497,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2218002000000,49,2218002000000,world,-0.0510381559684,-0.0363754226919,2.44524201676,0.200913257505,-0.116006324334,-0.0106362010969,0.706164104666,-0.482139887393,-0.00284491114119,0.0,0.0,0.0,-0.604292925135,-0.138253543586,0.0,0.0,0.0,0.0,0.0,0.0,1,1
